Gene	full_length	coding_length	GC	CpG	RepliSeq_ENCFF001GNK_GM12878	RepliSeq_ENCFF001GNN_GM12878	RepliSeq_ENCFF001GOW_HeLa-S3	RepliSeq_ENCFF001GRX_K562	RepliSeq_ENCFF001GOA_GM12878	RepliSeq_ENCFF001GSJ_K562	RepliSeq_ENCFF001GSP_K562	RepliSeq_ENCFF001GTK_MCF-7	RepliSeq_ENCFF001GNT_GM12878	RepliSeq_ENCFF001GNR_GM12878	RepliSeq_ENCFF001GNX_GM12878	RepliSeq_ENCFF001GSN_K562	RepliSeq_ENCFF001GSB_K562	RepliSeq_ENCFF001GTH_MCF-7	RepliSeq_ENCFF001GSX_MCF-7	RepliSeq_ENCFF001GSF_K562	RepliSeq_ENCFF001GON_HeLa-S3	RepliSeq_ENCFF001GOQ_HeLa-S3	RepliSeq_ENCFF001GOS_HeLa-S3	RepliSeq_ENCFF001GOJ_HeLa-S3	RepliSeq_ENCFF001GTD_MCF-7	RepliSeq_ENCFF001GTF_MCF-7	RepliSeq_ENCFF001GSV_MCF-7
A1BG	2.74286855102	0.570462931026	0.658	0.672	50.500	5.000	3.000	41.000	1.000	9.833	7.500	3.000	12.000	30.500	1.667	4.000	10.800	7.500	7.500	27.556	23.000	5.000	2.500	6.000	27.000	18.000	36.500
A1CF	6.43073688093	0.929790997719	0.469	0.315	18.486	2.375	10.316	7.926	1.000	45.783	3.000	19.838	29.884	41.843	7.826	14.842	5.692	35.475	6.533	23.652	4.200	29.407	48.333	5.071	10.682	20.031	8.087
A2M	5.60056711218	2.14469902515	0.493	0.291	15.389	4.462	1.833	10.833	1.000	46.278	3.250	4.667	28.100	44.348	7.273	12.792	6.133	19.300	6.929	19.667	20.500	3.667	2.500	7.500	23.300	28.455	17.250
A2ML1	5.76314595815	2.12598165385	0.497	0.286	23.037	2.571	2.500	26.345	1.333	24.760	3.000	2.750	25.968	40.471	6.500	8.364	4.500	14.833	4.500	35.361	52.857	21.933	2.571	4.500	28.158	37.071	12.429
A3GALT2	3.84126870254	0.0285691521968	0.668	0.873	20.000	2.500	3.333	6.556	1.000	52.143	4.400	1.000	25.286	49.250	2.000	13.500	7.333	2.000	7.500	16.400	26.000	41.500	10.000	4.500	46.286	16.571	26.000
A4GALT	4.86740230573	0.0827025893302	0.637	0.682	75.273	8.727	1.667	31.353	2.000	3.833	4.750	1.000	1.000	12.300	1.500	3.500	8.667	2.833	11.273	47.316	7.800	1.667	2.333	6.857	6.500	4.714	73.800
A4GNT	3.11603199345	0.0285691521968	0.507	0.275	21.000	1.667	2.500	24.000	3.000	12.167	2.500	5.000	36.200	27.000	11.000	4.000	7.833	20.500	7.000	48.167	41.833	17.500	3.000	5.600	18.000	41.333	8.500
AAAS	3.82507326084	0.711935356979	0.575	0.281	81.571	9.286	3.500	75.222	1.000	2.500	5.500	1.000	1.500	6.500	1.000	2.500	6.000	4.000	9.500	8.600	15.200	2.000	2.500	8.000	5.500	3.500	77.000
AACS	6.28479171873	1.01149563884	0.557	0.528	51.933	5.250	3.000	37.528	2.000	4.214	3.077	1.000	4.533	36.700	1.000	3.091	5.400	3.250	7.048	47.346	43.789	13.000	1.833	5.500	37.250	13.158	40.636
AADAC	3.84959901115	0.259423152281	0.410	0.299	5.500	1.500	3.000	9.750	1.500	38.091	1.000	15.500	43.833	33.833	15.200	26.222	6.000	35.600	7.000	17.714	31.000	39.000	10.000	6.333	9.500	23.500	7.600
